  , ,pop1, pop2 ,mo_rap, mo_len, mo_sol
,105,220429.61097,5.69331,1730.99729,0.03961,-337375.88753
,106,242239.06350,5.66313,1902.22516,0.03842,-370758.73327
,107,266206.35779,5.63312,2090.39478,0.03727,-407444.50050
,108,292544.99215,5.60326,2297.18237,0.03615,-447759.98246
,109,321489.58853,5.57356,2524.42999,0.03507,-492064.30555
,110,353297.98255,5.54402,2774.16198,0.03401,-540752.12834
,111,388253.52027,5.51464,3048.60296,0.03299,-594257.15722
,112,426667.58218,5.48541,3350.19763,0.03200,-653056.00976
,113,468882.35695,5.45634,3681.63260,0.03104,-717672.46038
,114,515273.88966,5.42742,4045.86030,0.03011,-788682.10611
,115,566255.43152,5.39866,4446.12524,0.02921,-866717.49393
,116,622281.12108,5.37004,4885.99299,0.02833,-952473.75542
,117,683850.02969,5.34158,5369.38185,0.02748,-1046714.79898
,118,751510.60713,5.31327,5900.59784,0.02666,-1150280.11458
,119,825865.56716,5.28511,6484.37300,0.02586,-1264092.25191
,120,907577.25647,5.25710,7125.90757,0.02508,-1389165.03831
,121,997373.55474,5.22924,7830.91630,0.02433,-1526612.60992
,122,1096054.35858,5.20152,8605.67936,0.02360,-1677659.33621
,123,1204498.70687,5.17395,9457.09830,0.02289,-1843650.72659
,124,1323672.61122,5.14653,10392.75748,0.02221,-2026065.41609
,125,1454637.66105,5.11926,11420.99170,0.02154,-2226528.33686
,126,1598560.48014,5.09212,12550.96039,0.02089,-2446825.19290
,127,1756723.11881,5.06514,13792.72922,0.02027,-2688918.36698
,128,1930534.47430,5.03829,15157.35977,0.01966,-2954964.40133
,129,2121542.84108,5.01159,16657.00805,0.01907,-3247333.20788
,130,2331449.70289,4.98503,18305.03282,0.01850,-3568629.17925
,131,2562124.88943,4.95861,20116.11453,0.01794,-3921714.38838
,132,2815623.23257,4.93233,22106.38614,0.01740,-4309734.08364
,133,3094202.87063,4.90618,24293.57682,0.01688,-4736144.70633
,134,3400345.36363,4.88018,26697.16988,0.01638,-5204744.68039
,135,3736777.79881,4.85432,29338.57630,0.01588,-5719708.24835
,136,4106497.08322,4.82859,32241.32549,0.01541,-6285622.65505
,137,4512796.63988,4.80300,35431.27488,0.01495,-6907529.01042
,138,4959295.74531,4.77754,38936.84026,0.01450,-7590967.19515
,139,5449971.76964,4.75222,42789.24886,0.01406,-8342025.20941
,140,5989195.60664,4.72703,47022.81759,0.01364,-9167393.40418
,141,6581770.60925,4.70198,51675.25868,0.01323,-10074424.07821
,142,7232975.37731,4.67706,56788.01564,0.01283,-11071196.97158
,143,7948610.77887,4.65227,62406.63243,0.01245,-12166591.23925
,144,8735051.62374,4.62761,68581.15915,0.01208,-13370364.54568
,145,9599303.44963,4.60309,75366.59791,0.01171,-14693239.98515
,146,10549064.92684,4.57869,82823.39273,0.01136,-16147001.60203
,147,11592796.43722,4.55442,91017.96804,0.01102,-17744599.36189
,148,12739795.43844,4.53029,100023.32033,0.01069,-19500264.50851
,149,14000279.28483,4.50627,109919.66841,0.01037,-21429636.33444
,150,15385476.24257,4.48239,120795.16799,0.01006,-23549901.49421
,151,16907725.50996,4.45864,132746.69697,0.00976,-25879947.10142
,152,18580587.13381,4.43500,145880.71842,0.00946,-28440528.97327
,153,20418962.80098,4.41150,160314.22892,0.00918,-31254456.52134
,154,22439228.58116,4.38812,176175.80080,0.00890,-34346795.93558
,155,24659380.80329,4.36486,193606.72738,0.00864,-37745093.47146
,156,27099196.36507,4.34173,212762.28167,0.00838,-41479620.82933
,157,29780408.90365,4.31872,233813.09947,0.00813,-45583644.81174
,158,32726902.39669,4.29583,256946.69943,0.00788,-50093723.66082
,159,35964923.91854,4.27306,282369.15340,0.00765,-55050032.71555
,160,39523317.44654,4.25041,310306.92210,0.00742,-60496722.28968
,161,43433780.80037,4.22788,341008.87246,0.00719,-66482310.95846
,162,47731148.00311,4.20548,374748.49445,0.00698,-73060117.75723
,163,52453699.57927,4.18319,411826.33731,0.00677,-80288737.14226
,164,57643503.55398,4.16102,452572.68686,0.00657,-88232560.94430
,165,63346790.19076,4.13896,497350.50756,0.00637,-96962351.96477
,166,69614363.80623,4.11703,546558.67588,0.00618,-106555874.32376
,167,76502055.32992,4.09521,600635.53335,0.00599,-117098586.17522
,168,84071219.64071,4.07350,660062.79131,0.00581,-128684400.95978
,169,92389282.11008,4.05191,725369.82195,0.00564,-141416523.97641
,170,101530339.22065,4.03044,797138.37390,0.00547,-155408371.72513
,171,111575818.61042,4.00908,876007.75437,0.00531,-170784582.21000
,172,122615204.42210,3.98783,962680.52408,0.00515,-187682125.20224
,173,134746834.41909,3.96669,1057928.75553,0.00499,-206251522.35344
,174,148078775.96861,3.94567,1162600.91064,0.00484,-226658188.02769
,175,162729788.69518,3.92476,1277629.39868,0.00470,-249083902.79641
,176,178830382.37965,3.90396,1404038.88213,0.00456,-273728432.72186
