,10.98941,9.94700,9.91847,9.70000,-1.12515
,12.07671,9.89428,9.83852,9.40900,-1.28480
,13.27158,9.84184,9.76021,9.12673,-1.45899
,14.58468,9.78968,9.68361,8.85293,-1.64920
,16.02770,9.73779,9.60882,8.58734,-1.85706
,17.61349,9.68618,9.53593,8.32972,-2.08434
,19.35618,9.63485,9.46503,8.07983,-2.33300
,21.27130,9.58378,9.39625,7.83743,-2.60517
,23.37589,9.53299,9.32971,7.60231,-2.90323
,25.68872,9.48246,9.26555,7.37424,-3.22977
,28.23038,9.43221,9.20393,7.15301,-3.58761
,31.02351,9.38222,9.14502,6.93842,-3.97990
,34.09300,9.33249,9.08901,6.73027,-4.41007
,37.46618,9.28303,9.03610,6.52836,-4.88190
,41.17311,9.23383,8.98652,6.33251,-5.39952
,45.24680,9.18489,8.94054,6.14254,-5.96750
,49.72355,9.13621,8.89842,5.95826,-6.59084
,54.64324,9.08779,8.86047,5.77951,-7.27504
,60.04967,9.03962,8.82704,5.60613,-8.02615
,65.99103,8.99171,8.79848,5.43794,-8.85081
,72.52022,8.94406,8.77522,5.27481,-9.75632
,79.69542,8.89665,8.75770,5.11656,-10.75069
,87.58054,8.84950,8.74642,4.96306,-11.84275
,96.24582,8.80260,8.74193,4.81417,-13.04217
,105.76844,8.75594,8.74482,4.66975,-14.35960
,116.23324,8.70954,8.75575,4.52965,-15.80673
,127.73344,8.66338,8.77545,4.39377,-17.39641
,140.37147,8.61746,8.80472,4.26195,-19.14276
,154.25992,8.57179,8.84444,4.13409,-21.06130
,169.52250,8.52636,8.89557,4.01007,-23.16909
,186.29517,8.48117,8.95917,3.88977,-25.48486
,204.72733,8.43622,9.03642,3.77308,-28.02921
,224.98319,8.39151,9.12859,3.65988,-30.82477
,247.24318,8.34703,9.23710,3.55009,-33.89641
,271.70558,8.30279,9.36350,3.44358,-37.27145
,298.58831,8.25879,9.50949,3.34028,-40.97993
,328.13084,8.21502,9.67695,3.24007,-45.05486
,360.59633,8.17148,9.86793,3.14287,-49.53250
,396.27397,8.12817,10.08471,3.04858,-54.45271
,435.48158,8.08509,10.32978,2.95712,-59.85929
,478.56841,8.04224,10.60587,2.86841,-65.80038
,525.91829,7.99961,10.91599,2.78236,-72.32886
,577.95300,7.95721,11.26344,2.69889,-79.50288
,635.13605,7.91504,11.65187,2.61792,-87.38630
,697.97684,7.87309,12.08526,2.53938,-96.04933
,767.03513,7.83136,12.56800,2.46320,-105.56912
,842.92610,7.78986,13.10493,2.38930,-116.03044
,926.32577,7.74857,13.70134,2.31763,-127.52645
,1017.97705,7.70750,14.36305,2.24810,-140.15955
,1118.69638,7.66665,15.09649,2.18065,-154.04224
,1229.38095,7.62602,15.90868,2.11523,-169.29816
,1351.01672,7.58560,16.80736,2.05178,-186.06321
,1484.68721,7.54540,17.80104,1.99022,-204.48668
,1631.58315,7.50541,18.89905,1.93052,-224.73269
,1793.01307,7.46563,20.11167,1.87260,-246.98156
,1970.41498,7.42606,21.45019,1.81642,-271.43146
,2165.36915,7.38670,22.92700,1.76193,-298.30018
,2379.61222,7.34755,24.55573,1.70907,-327.82703
,2615.05264,7.30861,26.35138,1.65780,-360.27503
,2873.78769,7.26988,28.33038,1.60807,-395.93320
,3158.12216,7.23135,30.51085,1.55982,-435.11916
,3470.58886,7.19302,32.91266,1.51303,-478.18196
,3813.97124,7.15490,35.55765,1.46764,-525.50519
,4191.32809,7.11698,38.46985,1.42361,-577.51038
,4606.02089,7.07926,41.67564,1.38090,-634.66077
,5061.74366,7.04174,45.20401,1.33947,-697.46544
,5562.55595,7.00442,49.08683,1.29929,-766.48384
,6112.91894,6.96729,53.35913,1.26031,-842.33075
,6717.73521,6.93037,58.05940,1.22250,-925.68180
,7382.39241,6.89363,63.22992,1.18583,-1017.27946
,8112.81123,6.85710,68.91719,1.15025,-1117.93966
,8915.49818,6.82076,75.17228,1.11574,-1228.55906
,9797.60351,6.78461,82.05132,1.08227,-1350.12303
,10766.98492,6.74865,89.61600,1.04980,-1483.71445
,11832.27758,6.71288,97.93412,1.01831,-1630.52331
,13002.97101,6.67730,107.08018,0.98776,-1791.85737
,14289.49362,6.64191,117.13605,0.95813,-1969.15377
,15703.30564,6.60671,128.19170,0.92938,-2163.99182
,17257.00116,6.57169,140.34601,0.90150,-2378.10713
,18964.42035,6.53686,153.70764,0.87446,-2613.40699
,20840.77273,6.50222,168.39600,0.84822,-2871.98742
