  , ,pop1, pop2 ,mo_rap, mo_len, mo_sol
101,12617749.71220,5.81562,199429.06597,0.04474,-19505971.00359,
102,14471966.07343,5.78480,229906.72647,0.04340,-22374717.07072,
103,16598433.77998,5.75414,265037.70381,0.04210,-25665023.48296,
104,19037091.86193,5.72364,305531.75837,0.04083,-29438785.60345,
105,21833733.03383,5.69331,352206.79622,0.03961,-33766978.54594,
106,25040860.83432,5.66313,406005.32936,0.03842,-38730987.91596,
107,28718672.15234,5.63312,468013.43830,0.03727,-44424135.40345,
108,32936183.46332,5.60326,539482.61721,0.03615,-50953427.72955,
109,37772521.77401,5.57356,621854.93901,0.03507,-58441561.61580,
110,43318404.33978,5.54402,716792.04468,0.03401,-67029222.21714,
111,49677834.72989,5.51464,826208.53689,0.03299,-76877717.92997,
112,56970046.84055,5.48541,952310.44659,0.03200,-88172000.75492,
113,65331733.06595,5.45634,1097639.54199,0.03104,-101124128.57686,
114,74919598.11994,5.42742,1265124.36646,0.03011,-115977233.95554,
115,85913286.05367,5.39866,1458139.02569,0.02921,-133010073.45185,
116,98518734.94818,5.37004,1680570.89954,0.02833,-152542242.32224,
117,112972021.70577,5.34158,1936898.63143,0.02748,-174940151.79704,
118,129543768.46541,5.31327,2232281.95354,0.02666,-200623880.34776,
119,148544192.59436,5.28511,2572665.14168,0.02586,-230075026.60650,
120,170328894.15415,5.25710,2964896.16515,0.02508,-263845710.22850,
121,195305488.42358,5.22924,3416863.90984,0.02433,-302568888.33219,
122,223941206.73853,5.20152,3937656.21225,0.02360,-346970179.60468,
123,256771606.86732,5.17395,4537741.85659,0.02289,-397881416.17775,
124,294410554.71297,5.14653,5229180.16370,0.02221,-456256175.47827,
125,337561662.69993,5.11926,6025862.34941,0.02154,-523187581.03180,
126,387031397.19762,5.09212,6943789.46157,0.02089,-599928703.32960,
127,443744098.25525,5.06514,8001392.43195,0.02027,-687915940.13601,
128,508759190.34166,5.03829,9219900.61595,0.01966,-788795810.90846,
129,583290903.35444,5.01159,10623766.15624,0.01907,-904455663.34789,
130,668730869.63225,4.98503,12241152.61450,0.01850,-1037058862.66386,
131,766674015.92965,4.95861,14104497.59130,0.01794,-1189085117.26754,
132,878948230.27667,4.93233,16251160.52181,0.01740,-1363376689.83118,
133,1007648353.46779,4.90618,18724168.52442,0.01688,-1563191351.73483,
134,1155175124.89484,4.88018,21573075.12345,0.01638,-1792263063.87176,
135,1324279804.02685,4.85432,24854948.90387,0.01588,-2054871509.91133,
136,1518115293.73418,4.82859,28635511.73023,0.01541,-2355921772.06079,
137,1740294711.78441,4.80300,32990449.12402,0.01495,-2701035627.15086,
138,1994958494.41469,4.77754,38006918.80163,0.01450,-3096656155.95669,
139,2286851273.43891,4.75222,43785287.29678,0.01406,-3550167605.01989,
140,2621409948.77696,4.72703,50441129.10301,0.01364,-4070032722.40034,
141,3004864584.91343,4.70198,58107527.96307,0.01323,-4665950111.95612,
142,3444353996.40237,4.67706,66937725.90475,0.01283,-5349034520.87924,
143,3948058158.48011,4.65227,77108172.49348,0.01245,-6132023399.11856,
144,4525349889.10680,4.62761,88822034.67754,0.01208,-7029513554.80410,
145,5186968604.02568,4.60309,102313236.69542,0.01171,-8058232285.78157,
146,5945219353.23022,4.57869,117851109.97638,0.01136,-9237348004.10334,
147,6814200813.02642,4.55442,135745745.00011,0.01102,-10588826099.51184,
148,7810066441.21936,4.53029,156354150.92411,0.01069,-12137836623.00225,
149,8951323613.61869,4.50627,180087344.71173,0.01037,-13913221327.81292,
150,10259176259.24576,4.48239,207418509.80961,0.01006,-15948028700.23661,
151,11757917312.15130,4.45864,238892385.49097,0.00976,-18280126866.59136,
152,13475378214.28547,4.43500,275136072.21227,0.00946,-20952905698.56493,
153,15443443753.19279,4.41150,316871466.20053,0.00918,-24016081083.31630,
154,17698641719.64954,4.38812,364929568.54116,0.00890,-27526616207.35854,
155,20282818245.71450,4.36486,420266950.89959,0.00864,-31549776858.90669,
156,23243911258.19911,4.34173,483984702.40359,0.00838,-36160340221.59415,
157,26636836285.08858,4.31872,557350230.96667,0.00813,-41443979458.50766,
158,30524500915.93322,4.29583,641822348.39708,0.00788,-47498849621.17268,
159,34978966579.41161,4.27306,739080133.10740,0.00765,-54437404122.74258,
160,40082779005.32710,4.25041,851056138.37364,0.00742,-62388475256.08338,
161,45930491833.65251,4.22788,979974599.33606,0.00719,-71499657093.39105,
162,52630411376.43655,4.20548,1128395389.94934,0.00698,-81940034663.35010,
163,60306594594.14079,4.18319,1299264593.78531,0.00677,-93903309666.41022,
164,69101136990.34171,4.16102,1495972682.16407,0.00657,-107611380274.99696,
165,79176792442.44368,4.13896,1722421442.05974,0.00637,-123318440906.68440,
166,90719973068.06693,4.11703,1983100967.49475,0.00618,-141315677407.09991,
167,103944184188.04810,4.09521,2283178225.03263,0.00599,-161936644010.19202,
168,119093957414.46532,4.07350,2628598930.32979,0.00581,-185563420956.27301,
169,136449354011.02914,4.05191,3026204732.91181,0.00564,-212633665971.59314,
170,156331121109.75769,4.03044,3483868005.45037,0.00547,-243648689208.76498,
171,179106595312.22977,4.00908,4010646877.64080,0.00531,-279182700014.55127,
172,205196461873.43713,3.98783,4616963549.98691,0.00515,-319893395372.97577,
173,235082493310.24292,3.96669,5314809377.05334,0.00499,-366534084459.47437,
174,269316409179.45935,3.94567,6117980731.85042,0.00484,-419967571884.48169,
175,308530019258.37543,3.92476,7042350263.08696,0.00470,-481182054415.76624,
176,353446835805.89734,3.90396,8106178846.68070,0.00456,-551309322835.32825,
177,404895367411.69647,3.88326,9330474325.50204,0.00442,-631645602780.78516,
178,463824337641.66095,3.86268,10739404042.17407,0.00429,-723675416711.80457,
179,531320106818.50543,3.84221,12360769216.47040,0.00416,-829098904409.04517,
180,608626615474.91614,3.82185,14226550421.66755,0.00403,-949863102662.75195,
181,697168214013.25488,3.80159,16373534796.35066,0.00391,-1088197757192.19373,
182,798575795735.83862,3.78144,18844037216.31826,0.00380,-1246656322672.96924,
183,914716710628.53394,3.76140,21686729476.02463,0.00368,-1428162901544.10107,
184,1047729006180.65784,3.74147,24957593625.62194,0.00357,-1636065980745.06812,
185,1200060620355.93335,3.72164,28721018018.52562,0.00346,-1874199949667.12451,
186,1374514242022.20166,3.70191,33051057391.92479,0.00336,-2146955524649.99683,
187,1574298657337.01196,3.68229,38032881482.07203,0.00326,-2459360367895.82324,
188,1803087518642.39917,3.66278,43764440328.68928,0.00316,-2817171374659.95703,
189,2065086607484.25977,3.64336,50358378618.65697,0.00307,-3226980315390.96533,
190,2365110817886.25098,3.62405,57944236238.95688,0.00297,-3696334762993.73975,
191,2708672262773.12744,3.60485,66670977745.19708,0.00289,-4233876513999.96045,
192,3102081108653.85547,3.58574,76709899811.25352,0.00280,-4849500031204.69629,
193,3552560975000.32666,3.56674,88257973029.63171,0.00271,-5554533800049.30469,
194,4068380999378.19873,3.54783,101541682821.15762,0.00263,-6361947908313.04199,
195,4659006972088.40039,3.52903,116821443847.32968,0.00255,-7286591636083.79492,
196,5335274290334.37402,3.51032,134396673383.66083,0.00248,-8345465389164.42578,
197,6109585878000.02832,3.49172,154611621819.43823,0.00240,-9558031933931.15820,
198,6996138670163.73047,3.47321,177862073041.65494,0.00233,-10946572606511.96680,
199,8011182779668.61719,3.45481,204603044217.45508,0.00226,-12536594986939.98047,
200,9173318055777.38867,3.43649,235357633730.51300,0.00219,-14357299464462.53906,
201,10503833422861.33594,3.41828,270727188119.82764,0.00213,-16442113190380.26562,
202,12027095162444.34766,3.40016,311402984236.17566,0.00206,-18829301139012.63281,
203,13770991188733.27539,3.38214,358179651955.83923,0.00200,-21562665397777.48438,
204,15767439382012.67578,3.36422,411970596228.47253,0.00194,-24692345409250.33203,
205,18052969204254.29297,3.34639,473825715623.19617,0.00188,-28275733720388.20703,
206,20669387147900.86719,3.32865,544951758605.18475,0.00183,-32378523889970.05078,
207,23664538085938.47656,3.31101,626735709362.77075,0.00177,-37075909602580.32812,
208,27093176326406.03516,3.29346,720771653074.54480,0.00172,-42453956779434.86719,
209,31017962158655.48828,3.27601,828891637160.79858,0.00167,-48611173612518.34375,
210,35510601947699.67969,3.25864,953201121570.03821,0.00162,-55660307035471.46875,
211,40653152427711.98438,3.24137,1096119698961.51880,0.00157,-63730398247149.03125,
212,46539512812867.65625,3.22419,1260427866424.64551,0.00152,-72969134595764.28125,
213,53277131736622.67969,3.20711,1449320746036.33521,0.00148,-83545540497643.59375,
214,60988959910236.66406,3.19011,1666469784289.39868,0.00143,-95653056201570.51562,
215,69815683827621.31250,3.17320,1916093612741.89551,0.00139,-109513060228093.00000,
216,79918280916181.37500,3.15638,2203039427021.37402,0.00135,-125378899339446.12500,
217,91480942333368.06250,3.13965,2532876441874.04004,0.00131,-143540499074461.28125,
218,104714416240388.03125,3.12301,2912003210067.15283,0.00127,-164329638379260.84375,
219,119859831967014.56250,3.10646,3347770856978.98486,0.00123,-188125983867612.03125,
220,137193074150882.23438,3.09000,3848624585627.23828,0.00119,-215363992970534.06250,
221,157029785846635.40625,3.07362,4424266154406.58008,0.00116,-246540810930044.68750,
222,179731090932726.62500,3.05733,5085840428478.51855,0.00112,-282225304539076.62500,
223,205710139099840.40625,3.04113,5846149563090.53516,0.00109,-323068396051279.68750,
224,235439591517238.71875,3.02501,6719898901703.51172,0.00106,-369814884149529.00000,
225,269460182207398.00000,3.00898,7723979273543.47461,0.00102,-423316965692146.12500,
226,308390509518709.12500,2.99303,8877791065374.78906,0.00099,-484549702633120.06250,
227,352938234217708.25000,2.97716,10203616233879.47852,0.00096,-554628713587949.06250,
228,403912886022847.00000,2.96139,11727045332877.77930,0.00093,-634830409619901.37500,
229,462240509324404.87500,2.94569,13477467670764.37109,0.00091,-726615139672376.62500,
230,528980411897761.81250,2.93008,15488633907474.97656,0.00088,-831653663494462.87500,
231,605344318211835.75000,2.91455,17799301769398.37891,0.00085,-951857429839200.50000,
232,692718272137562.62500,2.89910,20453977130530.21094,0.00083,-1089413206232438.62500,
233,792687683245985.00000,2.88374,23503764508183.55469,0.00080,-1246822684943124.00000,
234,907065967335353.12500,2.86845,27007343085362.87500,0.00078,-1426947779337640.00000,
235,1037927296351332.62500,2.85325,31032086738006.60156,0.00076,-1633062427176378.50000,
236,1187644046617809.00000,2.83813,35655349257857.12500,0.00073,-1868911834444360.75000,
237,1358929618596454.75000,2.82309,40965939071296.60938,0.00071,-2138780227095882.25000,
238,1554887397747988.50000,2.80812,47065811319023.18750,0.00069,-2447568331031731.50000,
239,1779066736198753.50000,2.79324,54072009247289.33594,0.00067,-2800881975454764.50000,
240,2035526960790486.50000,2.77844,62118891544581.59375,0.00065,-3205133414594842.50000,
241,2328910556957294.00000,2.76371,71360687625130.57812,0.00063,-3667657191233624.00000,
242,2664526842301101.50000,2.74906,81974429012184.53125,0.00061,-4196842626580464.00000,
243,3048447631660923.00000,2.73449,94163312023710.39062,0.00059,-4802285319523318.00000,
244,3487616610246778.50000,2.72000,108160555041818.21875,0.00057,-5494960379440495.00000,
245,3989974376869032.00000,2.70558,124233822904408.20312,0.00056,-6287420506709833.00000,
246,4564601399818154.00000,2.69124,142690301564680.34375,0.00054,-7194022480761476.00000,
247,5221881448542910.00000,2.67698,163882518317418.84375,0.00052,-8231186124953881.00000,
248,5973688430654901.00000,2.66279,188215016814970.62500,0.00051,-9417690399811754.00000,
249,6833599982487875.00000,2.64868,216152012047695.40625,0.00049,-10775011941649888.00000,
250,7817141639926472.00000,2.63464,248226168737682.31250,0.00048,-12327712124203000.00000,
251,8942065963020760.00000,2.62068,285048667527573.75000,0.00046,-14103879590169134.00000,
252,10228671612765704.00000,2.60679,327320747323961.87500,0.00045,-16135636193070650.00000,
253,11700168092483772.00000,2.59297,375846939618271.81250,0.00044,-18459715425274052.00000,
254,13383092682226508.00000,2.57923,431550242062266.50000,0.00042,-21118123705648448.00000,
255,15307787027043178.00000,2.56556,495489514598118.62500,0.00041,-24158896383333048.00000,
256,17508941905459230.00000,2.55196,568879422695536.50000,0.00040,-27636962008879020.00000,
257,20026219922039336.00000,2.53844,653113299487158.87500,0.00039,-31615130360855000.00000,
258,22904967259158468.00000,2.52498,749789352683777.50000,0.00037,-36165221929393152.00000,
259,26197027212838728.00000,2.51160,860740704082949.00000,0.00036,-41369359087562816.00000,
260,29961670054028344.00000,2.49829,988069820390752.25000,0.00035,-47321442071976536.00000,
261,34266655832333708.00000,2.48505,1134187975252235.50000,0.00034,-54128836197171216.00000,
262,39189449110904424.00000,2.47188,1301860475313135.00000,0.00033,-61914300502921856.00000,
263,44818607331117272.00000,2.45878,1494258489508211.50000,0.00032,-70818192346983384.00000,
264,51255367602123616.00000,2.44575,1715018442527862.00000,0.00031,-81000987384650352.00000,
265,58615460248302000.00000,2.43278,1968310072770405.50000,0.00030,-92646160008758512.00000,
266,67031181490128688.00000,2.41989,2258914414576286.00000,0.00029,-105963475759622832.00000,
267,76653762252845792.00000,2.40706,2592313147059240.50000,0.00028,-121192754568504960.00000,
268,87656075374716608.00000,2.39431,2974790960710020.00000,0.00028,-138608172101452192.00000,
269,100235729516462144.00000,2.38162,3413552831936470.00000,0.00027,-158523176072330912.00000,
270,114618604962896096.00000,2.36899,3916858369147182.50000,0.00026,-181296105365489888.00000,
271,131062894379318160.00000,2.35644,4494175706830880.50000,0.00025,-207336612344985120.00000,
272,149863720578843808.00000,2.34395,5156357781983203.00000,0.00024,-237113003051756800.00000,
273,171358413632440320.00000,2.33153,5915844236646973.00000,0.00024,-271160626357436416.00000,
274,195932541393684800.00000,2.31917,6786892658643525.00000,0.00023,-310091461844764864.00000,
275,224026800923871488.00000,2.30688,7785843408216210.00000,0.00022,-354605077552598080.00000,
276,256144893628526656.00000,2.29465,8931422890919826.00000,0.00022,-405501153138253120.00000,
277,292862524426069952.00000,2.28249,10245090837680908.00000,0.00021,-463693791905746176.00000,
278,334837685274548736.00000,2.27039,11751437954099874.00000,0.00020,-530227877021428864.00000,
279,382822406238677440.00000,2.25836,13478641217131792.00000,0.00020,-606297763655451392.00000,
280,437676183393135744.00000,2.24639,15458985144674310.00000,0.00019,-693268640395980800.00000,
281,500381322693418624.00000,2.23448,17729458561045148.00000,0.00019,-792700940823048448.00000,
282,572060473032857664.00000,2.22264,20332437750242540.00000,0.00018,-906378240445616640.00000,
283,653996660649721856.00000,2.21086,23316468453678632.00000,0.00018,-1036339136264727296.00000,
284,747656181543908352.00000,2.19914,26737160957648344.00000,0.00017,-1184913677130844928.00000,
285,854714759399722112.00000,2.18749,30658214559983052.00000,0.00016,-1354764994075416576.00000,
286,977087434593465088.00000,2.17589,35152590041482968.00000,0.00016,-1548936872355615744.00000,
287,1116962716224755584.00000,2.16436,40303851437304240.00000,0.00015,-1770908112702869248.00000,
288,1276841604928688128.00000,2.15289,46207701453835816.00000,0.00015,-2024654650090337280.00000,
289,1459582180850432512.00000,2.14148,52973738361756704.00000,0.00015,-2314720536380284928.00000,
290,1668450550135293440.00000,2.13013,60727466177553104.00000,0.00014,-2646299050933780992.00000,
291,1907179056366005504.00000,2.11884,69612594494117376.00000,0.00014,-3025325383466842112.00000,
292,2180032792576713984.00000,2.10761,79793669516365456.00000,0.00013,-3458582539323330560.00000,
293,2491885597088261120.00000,2.09644,91459083791596368.00000,0.00013,-3953822352566842368.00000,
294,2848306885068733952.00000,2.08533,104824518900932960.00000,0.00013,-4519903761054837760.00000,
295,3255660860428252160.00000,2.07428,120136883116631680.00000,0.00012,-5166950804728331264.00000,
296,3721219872837715456.00000,2.06328,137678814866026592.00000,0.00012,-5906533159191296000.00000,
297,4253293936237457408.00000,2.05235,157773832931083424.00000,0.00011,-6751872417506450432.00000,
298,4861378712652935168.00000,2.04147,180792225829343392.00000,0.00011,-7718077791129430016.00000,
299,5556324593580051456.00000,2.03065,207157785968451616.00000,0.00011,-8822415424190271488.00000,
300,6350529886493002752.00000,2.01989,237355509171588032.00000,0.00010,-10084616113221126144.00000,
301,7258161542849234944.00000,2.00918,271940397296010112.00000,0.00010,-11527226907562733568.00000,
302,8295407353961241600.00000,1.99853,311547521209027072.00000,0.00010,-13176012846218672128.00000,
303,9480764101007974400.00000,1.98794,356903523683912448.00000,0.00010,-15060415978761033728.00000,
304,10835366785252784128.00000,1.97741,408839767218509888.00000,0.00009,-17214079836903182336.00000,
305,12383364795630874624.00000,1.96693,468307360801194816.00000,0.00009,-19675448687691632640.00000,
306,14152351706310158336.00000,1.95650,536394332753005056.00000,0.00009,-22488452229668753408.00000,
307,16173856351524274176.00000,1.94613,614345254531098624.00000,0.00008,-25703287913522769920.00000,
308,18483903915967926272.00000,1.93582,703583663436060160.00000,0.00008,-29377314805759762432.00000,
309,21123657025814802432.00000,1.92556,805737681262461952.00000,0.00008,-33576074898763886592.00000,
310,24140148250238894080.00000,1.91535,922669281908921728.00000,0.00008,-38374460038642171904.00000,
311,27587117051652608000.00000,1.90520,1056507724776972800.00000,0.00007,-43858045233923555328.00000,
312,31525966083828899840.00000,1.89510,1209687743525273600.00000,0.00007,-50124612069726937088.00000,
313,36026853863930695680.00000,1.88506,1384993162644470016.00000,0.00007,-57285889336270741504.00000,
314,41169943275281178624.00000,1.87507,1585606708785651456.00000,0.00007,-65469541847968628736.00000,
315,47046828135981162496.00000,1.86513,1815166891411899904.00000,0.00007,-74821442848887488512.00000,
316,53762163243964858368.00000,1.85525,2077832949966938368.00000,0.00006,-85508270450964611072.00000,
317,61435526938671095808.00000,1.84541,2378359004434809856.00000,0.00006,-97720474323321274368.00000,
318,70203549368248221696.00000,1.83563,2722178705249242112.00000,0.00006,-111675665447425392640.00000,
319,80222344393504096256.00000,1.82590,3115501859670062080.00000,0.00006,-127622489291678072832.00000,
320,91670288480741392384.00000,1.81623,3565424718008556544.00000,0.00006,-145845051375064825856.00000,
321,104751196132494016512.00000,1.80660,4080055837897104896.00000,0.00006,-166667974036982890496.00000,
322,119697948489303654400.00000,1.79702,4668659712069769216.00000,0.00005,-190462174485505179648.00000,
323,136776639834355220480.00000,1.78750,5341820649286992896.00000,0.00005,-217651467060723646464.00000,
324,156291315991652925440.00000,1.77803,6111629744134397952.00000,0.00005,-248720107353912573952.00000,
325,178589389194053713920.00000,1.76860,6991898165165551616.00000,0.00005,-284221412630626369536.00000,
326,204067826100462387200.00000,1.75923,7998400438720728064.00000,0.00005,-324787612217913769984.00000,
327,233180219479870406656.00000,1.74991,9149151915085154304.00000,0.00005,-371141103477297315840.00000,
328,266444869903155691520.00000,1.74063,10464725182779156480.00000,0.00004,-424107314090285072384.00000,
329,304454021877098086400.00000,1.73141,11968610855137040384.00000,0.00004,-484629400082876465152.00000,
330,347884419545533120512.00000,1.72223,13687628901623470080.00000,0.00004,-553785041825579270144.00000,
331,397509370743747969024.00000,1.71310,15652397546664701952.00000,0.00004,-632805637755858059264.00000,
332,454212535251886407680.00000,1.70402,17897867724846301184.00000,0.00004,-723098238455613095936.00000,
333,519003684040860434432.00000,1.69499,20463932178664353792.00000,0.00004,-826270612749348765696.00000,
334,593036711700439105536.00000,1.68601,23396119531166498816.00000,0.00004,-944159893552492707840.00000,
335,677630224725252636672.00000,1.67707,26746385080632987648.00000,0.00004,-1078865315304548859904.00000,
336,774291074644705411072.00000,1.66818,30574011670366367744.00000,0.00003,-1232785628124848324608.00000,
337,884741257957897666560.00000,1.65934,34946635809038159872.00000,0.00003,-1408661857652881227776.00000,
338,1010948665437102800896.00000,1.65055,39941416284521586688.00000,0.00003,-1609626175394858926080.00000,
339,1155162232695210770432.00000,1.64180,45646364859054415872.00000,0.00003,-1839257754026290446336.00000,
340,1319952123235820109824.00000,1.63310,52161861292410208256.00000,0.00003,-2101646607480390156288.00000,
341,1508255665964586893312.00000,1.62444,59602377953659428864.00000,0.00003,-2401466559054315782144.00000,
342,1723429872992256786432.00000,1.61583,68098442697458540544.00000,0.00003,-2744058644788183302144.00000,
343,1969311482399433949184.00000,1.60727,77798872549872877568.00000,0.00003,-3135526446990332788736.00000,
344,2250285606632334032896.00000,1.59875,88873315130355712000.00000,0.00003,-3582845067402065477632.00000,
345,2571364222845533552640.00000,1.59028,101515139696876371968.00000,0.00003,-4093985695015235485696.00000,
346,2938275919652569743360.00000,1.58185,115944725314760294400.00000,0.00003,-4678058004441268224000.00000,
347,3357568518654351376384.00000,1.57346,132413200000225411072.00000,0.00002,-5345472942092835618816.00000,
348,3836726422531500146688.00000,1.56513,151206691870798872576.00000,0.00002,-6108128825134300528640.00000,
349,4384304808699414183936.00000,1.55683,172651161452153077760.00000,0.00002,-6979624098889514090496.00000,
350,5010083093450338598912.00000,1.54858,197117893462537830400.00000,0.00002,-7975500579845902958592.00000,
351,5725240441780608958464.00000,1.54037,225029736754196578304.00000,0.00002,-9113521562359735255040.00000,
352,6542556499183991259136.00000,1.53221,256868192783959588864.00000,0.00002,-10413989797727538511872.00000,
353,7476640980990891655168.00000,1.52409,293181466178037514240.00000,0.00002,-11900111075989933522944.00000,
354,8544196280841492496384.00000,1.51601,334593605833593454592.00000,0.00002,-13598409966907283210240.00000,
355,9764317862338691596288.00000,1.50797,381814881767895072768.00000,0.00002,-15539205222152817082368.00000,
356,11158837888005009571840.00000,1.49998,435653561814087041024.00000,0.00002,-17757153423283493797888.00000,
357,12752718330179956506624.00000,1.49203,497029273525911814144.00000,0.00002,-20291870699386463846400.00000,
358,14574500714140254863360.00000,1.48412,566988160575214452736.00000,0.00002,-23188643757286991331328.00000,
